CIT_ID_NO,legal_form_pol,legal_form_pol_english,sector_pol,sector_long,sector,province_pol,province,revenue,revenue_poland,revenue_outside_poland,revenue_outside_poland_other,expenditure,tax_deductible_expenditure_poland,tax_deductible_expenditure_outside_poland,tax_deductible_expenditure_outside_poland_other,tax_deductible_expediture_intellectual_property,tax_deductible_expenditure_on_interest_income,income_art_7_2_total,loss_art_7_2_total,loss_art_7_3_4_a,income,loss,tax_free_income_total,tax_free_income_statistic_purpose_art_17_1_4d_etc,tax_free_income_art_17_1_4,tax_free_income_non_agriculture_art_17_1_4e,tax_free_income_subsidies_art_17_1_21,tax_free_income_art_17_1_23_24,tax_free_income_art_17_1_34,tax_free_income_art_17_1_39,tax_free_income_housing_coops_art_17_1_44,tax_free_income_subsidies_state_local_art_17_1_47,tax_free_income_amounts_government_agencies_art_17_1_48,tax_free_income_agriculture_producer_groups_art_17_1_49,tax_free_income_financial_programs_central_europe_art_17_1_52,tax_free_income_environmental_finances_art_17_1_53,tax_free_income_other_art_17_1,tax_free_income_other,deductions_from_income_total,loss_from_previous_years,deductions_from_income_art_18_1_1,deductions_from_income_art_18_1_7,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,tax_rate,tax,tax_due
11,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,16145806.48,16145806.48,0,0,15822890.35,15822890.35,0,0,0,0,322916.13,0,0,322916.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322916.13,0,322916,19,61354.04,61354
12,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,30 Wielkopolskie,Wielkopolskie,15689521.12,15689521.12,0,0,15375730.7,15375730.7,0,0,0,0,313790.42,0,0,313790.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313790.42,0,313790,19,59620.1,59620
13,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"D Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych","D Production and supply of electricity, gas, steam, hot water and air for air conditioning systems",Utilities,10 Łódzkie,Łódzkie,11712683.96,11712683.96,0,0,11478430.28,11478430.28,0,0,0,0,234253.68,0,0,234253.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29560,29560,0,0,204693.68,0,204694,19,38891.86,38892
14,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"D Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych","D Production and supply of electricity, gas, steam, hot water and air for air conditioning systems",Utilities,24 Śląskie,Śląskie,11256398.6,11256398.6,0,0,11031270.63,11031270.63,0,0,0,0,225127.97,0,0,225127.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24625.3,24625.3,0,0,200502.67,0,200503,19,38095.57,38096
15,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,14 Mazowieckie,Mazowieckie,9715249.92,9715249.92,0,0,10492469.91,10492469.91,0,0,0,0,0,777219.99,0,0,777219.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
16,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,12 Małopolskie,Małopolskie,9258964.56,9258964.56,0,0,9999681.72,9999681.72,0,0,0,0,0,740717.16,0,0,740717.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
17,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8699801.64,8699801.64,0,0,8642700.57,8642700.57,0,0,0,0,57101.07,0,0,57101.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,56101.07,0,56101,19,10659.19,10659
18,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8699738.12,8699738.12,0,0,8179135.54,8179135.54,0,0,0,0,520602.58,0,0,520602.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335192.73,335192.73,0,0,185409.85,0,185410,19,35227.9,35228
19,OSP.40 Spółdzielnie,OSP.40 Cooperatives,F Budownictwo,F Construction,Construction,02 Dolnośląskie,Dolnośląskie,8699725.65,8699725.65,0,0,8397049.8,8397049.8,0,0,0,0,302675.85,0,86989.2,389665.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389665.05,0,389665,19,74036.35,74036
20,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,H Transport i gospodarka magazynowa,H Transport and storage,Transportation and Storage,12 Małopolskie,Małopolskie,8698383.32,8698383.32,0,0,8136540.26,8136540.26,0,0,0,0,561843.06,0,0,561843.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561843.06,0,561843,19,106750.17,106750
21,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,30 Wielkopolskie,Wielkopolskie,8698242.01,8698242.01,0,0,8441271.47,8441271.47,0,0,0,0,256970.54,0,0,256970.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256970.54,0,256971,19,48824.49,48824
22,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"D Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych","D Production and supply of electricity, gas, steam, hot water and air for air conditioning systems",Utilities,30 Wielkopolskie,Wielkopolskie,8697531.21,8697531.21,0,0,8050993.33,8050993.33,0,0,0,0,646537.88,0,0,646537.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59219.34,59219.34,0,0,587318.54,0,587319,19,111590.61,111591
23,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,14 Mazowieckie,Mazowieckie,8697300.57,8697300.57,0,0,8080943.35,8080943.35,0,0,0,0,616357.22,0,0,616357.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616357.22,616357.22,0,0,0,0,0,19,0,0
24,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,26 Świętokrzyskie,Świętokrzyskie,8694420.08,8694420.08,0,0,8676011.94,8676011.94,0,0,0,0,18408.14,0,0,18408.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18408.14,18408.14,0,0,0,0,0,19,0,0
25,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,#NAME?,Not determined,Not determined,26 Świętokrzyskie,Świętokrzyskie,8694359.17,8694359.17,0,0,8667164.16,8667164.16,0,0,0,0,27195.01,0,0,27195.01,0,27195.01,0,0,0,0,0,0,0,0,0,0,27195.01,0,0,0,0,0,0,0,0,0,0,0,19,0,0
26,OSP.99 Bez szczególnej formy prawnej,OSP.99 Without a particular legal form,P Edukacja,P Education,Education,30 Wielkopolskie,Wielkopolskie,8693362,8693362,0,0,3593171.19,3593171.19,0,0,0,0,5100190.81,0,0,5100190.81,0,4963547.8,564280.28,0,0,0,48420.52,0,0,0,4350847,0,0,0,0,0,0,300,0,300,0,136343.01,0,136343,19,25905.17,25905
27,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,10 Łódzkie,Łódzkie,8693160.03,8693160.03,0,0,8626114.44,8626114.44,0,0,0,0,67045.59,0,0,67045.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67045.59,0,67046,19,12738.74,12739
28,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,24 Śląskie,Śląskie,8693003.78,8693003.78,0,0,7987426.8,7987426.8,0,0,0,0,705576.98,0,0,705576.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705576.98,0,705577,19,134059.63,134060
29,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"M Działalność profesjonalna, naukowa i techniczna","M Professional, scientific and technical activities",Professional/Scientific,14 Mazowieckie,Mazowieckie,8692862.43,8692862.43,0,0,8326029.66,8326029.66,0,0,0,0,366832.77,0,0,366832.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366832.77,0,366833,19,69698.27,69698
30,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,12 Małopolskie,Małopolskie,8692204.62,8692204.62,0,0,8522631.4,8522631.4,0,0,0,0,169573.22,0,0,169573.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169573.22,169573.22,0,0,0,0,0,19,0,0
31,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,14 Mazowieckie,Mazowieckie,8691871.43,8691871.43,0,0,8441379.57,8441379.57,0,0,0,0,250491.86,0,0,250491.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250491.86,0,250492,19,47593.48,47593
32,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8691669.28,8691669.28,0,0,8739399.91,8739399.91,0,0,0,0,0,47730.63,0,0,47730.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
33,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8686201.12,8686201.12,0,0,8366444.73,8366444.73,0,0,0,0,319756.39,0,0,319756.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319756.39,0,319756,19,60753.64,60754
34,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,14 Mazowieckie,Mazowieckie,8685809.84,8685809.84,0,0,8609380.66,8609380.66,0,0,0,0,76429.18,0,0,76429.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12057.07,12057.07,0,0,64372.11,0,64372,19,12230.68,12231
35,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,#NAME?,Not determined,Not determined,14 Mazowieckie,Mazowieckie,8685537.34,8685537.34,0,0,7938615.54,7938615.54,0,0,0,0,746921.8,0,0,746921.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746921.8,0,746922,19,141915.18,141915
36,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,12 Małopolskie,Małopolskie,8685243.63,8685243.63,0,0,7201384.67,7201384.67,0,0,0,0,1483858.96,0,0,1483858.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483858.96,0,1483859,19,281933.21,281933
37,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,N Działalność w zakresie usług administrowania i działalność wspierająca,N Administrative and support service activities,Admin and Support Services,14 Mazowieckie,Mazowieckie,8684418.65,8684418.65,0,0,8636099.97,8636099.97,0,0,0,0,48318.68,0,0,48318.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48318.68,0,48319,19,9180.61,9181
38,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,12 Małopolskie,Małopolskie,8681645.95,8681645.95,0,0,7944306.58,7944306.58,0,0,0,0,737339.37,0,0,737339.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737339.37,0,737339,19,140094.41,140094
39,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,12 Małopolskie,Małopolskie,8680714.27,8680714.27,0,0,8666860.83,8666860.83,0,0,0,0,13853.44,0,0,13853.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2983.02,2983.02,0,0,10870.42,0,10870,19,2065.3,2065
40,OSP.46 Samodzielne publiczne zakłady opieki zdrowotnej,OSP.46 Independent public healthcare institutions,Q Opieka zdrowotna i pomoc społeczna,Q Health care and social assistance,Health,12 Małopolskie,Małopolskie,8680472.34,8680472.34,0,0,8573167.4,8573167.4,0,0,0,0,107304.94,0,0,107304.94,0,86371.94,0,86371.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20933,0,20933,19,3977.27,3977
41,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,02 Dolnośląskie,Dolnośląskie,8680323.5,8680323.5,0,0,8427916.13,8427916.13,0,0,0,0,252407.37,0,0,252407.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252407.37,0,252407,19,47957.33,47957
42,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,28 Warmińsko-Mazurskie,Warmińsko-Mazurskie,8679652.66,8679652.66,0,0,8550785.84,8550785.84,0,0,0,0,128866.82,0,0,128866.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128866.82,0,128867,19,24484.73,24485
43,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,#NAME?,Not determined,Not determined,28 Warmińsko-Mazurskie,Warmińsko-Mazurskie,8679273.77,8679273.77,0,0,6968731.26,6968731.26,0,0,0,0,1710542.51,0,0,1710542.51,0,1614080.85,0,0,0,1614080.85,0,0,0,0,0,0,0,0,0,0,0,12274.53,12274.53,0,0,84187.13,0,84187,19,15995.53,15996
44,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,12 Małopolskie,Małopolskie,8678381.08,8678381.08,0,0,7950382.79,7950382.79,0,0,0,0,727998.29,0,0,727998.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727998.29,0,727998,19,138319.62,138320
45,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,30 Wielkopolskie,Wielkopolskie,8678326.77,8678326.77,0,0,7201489.29,7201489.29,0,0,0,0,1476837.48,0,0,1476837.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476837.48,0,1476837,19,280599.03,280599
46,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,F Budownictwo,F Construction,Construction,24 Śląskie,Śląskie,8676372.9,8676372.9,0,0,8351198.65,8351198.65,0,0,0,0,325174.25,0,0,325174.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325174.25,0,325174,19,61783.06,61783
47,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,02 Dolnośląskie,Dolnośląskie,8676121.97,8676121.97,0,0,8532753.23,8532753.23,0,0,0,0,143368.74,0,0,143368.74,0,140966.29,127934.17,0,0,0,0,0,0,0,0,0,13032.12,0,0,0,0,0,0,0,0,2402.45,0,2402,19,456.38,456
48,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,02 Dolnośląskie,Dolnośląskie,8675080.9,8675080.9,0,0,8299268.09,8299268.09,0,0,0,0,375812.81,0,0,375812.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375812.81,0,375813,19,71404.47,71404
49,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,#NAME?,Not determined,Not determined,14 Mazowieckie,Mazowieckie,8674611.8,8674611.8,0,0,8516771.74,8516771.74,0,0,0,0,157840.06,0,0,157840.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157840.06,0,157840,19,29989.6,29990
50,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"M Działalność profesjonalna, naukowa i techniczna","M Professional, scientific and technical activities",Professional/Scientific,28 Warmińsko-Mazurskie,Warmińsko-Mazurskie,8674169.24,8674169.24,0,0,10326476.8,10326476.8,0,0,0,0,0,1652307.56,0,0,1652307.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
51,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,02 Dolnośląskie,Dolnośląskie,8674076.61,8674076.61,0,0,8140923.66,8140923.66,0,0,0,0,533152.95,0,0,533152.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533152.95,0,533153,19,101299.07,101299
52,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,"G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle","G Wholesale and retail trade; repair of motor vehicles, including motorcycles",Wholesale/Retail Trade,12 Małopolskie,Małopolskie,8673602.21,8673602.21,0,0,7889489.04,7889489.04,0,0,0,0,784113.17,0,0,784113.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24152.63,24152.63,0,0,759960.54,0,759961,19,144392.59,144393
53,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,12 Małopolskie,Małopolskie,8673079.1,8673079.1,0,0,10135283.17,10135283.17,0,0,0,0,0,1462204.07,0,0,1462204.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
54,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,S Pozostała działalność usługowa,S Other service activities,Other Service Activities,14 Mazowieckie,Mazowieckie,8672974.13,8672974.13,0,0,8301321.71,8301321.71,0,0,0,0,371652.42,0,0,371652.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212810.01,212810.01,0,0,158842.41,0,158842,19,30179.98,30180
55,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,14 Mazowieckie,Mazowieckie,8672367.19,8672367.19,0,0,7517906.4,7517906.4,0,0,0,0,1154460.79,0,0,1154460.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154460.79,0,1154461,15,173169.15,173169
56,OSP.16 Spółki akcyjne,OSP.16 Joint stock companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,24 Śląskie,Śląskie,8671368.47,8671368.47,0,0,10284239.3,10284239.3,0,0,0,0,0,1612870.83,0,0,1612870.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
57,OSP.17 Spółki z ograniczoną odpowiedzialnością,OSP.17 Limited liability companies,C Przetwórstwo przemysłowe,C Industrial processing,Manufacturing,10 Łódzkie,Łódzkie,8671001.55,8671001.55,0,0,8632272.28,8632272.28,0,0,0,0,38729.27,0,0,38729.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32972.92,32972.92,0,0,5756.35,0,5756,19,1093.64,1094
